episode,agent_id,mean_difference,std_difference,truthful_count,truthful_pct,num_samples
1160,1,-0.3154447600245476,0.3600911662092734,3,15.0,20
1200,0,0.2024511143565178,0.2843296553018771,2,10.0,20
1200,1,-0.3438786495476961,0.3023778060894581,1,5.0,20
1200,0,0.31201364696025846,0.2876499283330633,3,15.0,20
1200,1,-0.290899308398366,0.3223393725687679,1,5.0,20
1240,0,0.27825324833393095,0.28100867346211666,2,10.0,20
1240,1,-0.32024773955345154,0.2655804985624097,0,0.0,20
1240,0,0.2876109778881073,0.30910654175529323,3,15.0,20
1240,1,-0.4479935456067324,0.2836843732481165,0,0.0,20
1280,0,0.24287191182374954,0.32564970306560903,2,10.0,20
1280,1,-0.2781150944530964,0.3005595247998154,2,10.0,20
1280,0,0.20678921639919282,0.26696038577940184,2,10.0,20
1280,1,-0.2782899737358093,0.29067505406924427,5,25.0,20
1320,0,0.29400303214788437,0.2662133342860492,1,5.0,20
1320,1,-0.21794610423967242,0.35170268624381307,3,15.0,20
1320,0,0.3123893737792969,0.24032493586605275,2,10.0,20
1320,1,-0.32549060843884947,0.3023298738597284,4,20.0,20
1360,0,0.23502952456474305,0.23779815062902032,3,15.0,20
1360,1,-0.3328073177486658,0.2933326968517807,2,10.0,20
1360,0,0.2255309358239174,0.30458284121727297,2,10.0,20
1360,1,-0.2747623274102807,0.33920760092301094,1,5.0,20
1400,0,0.3012639060616494,0.2426588500218915,2,10.0,20
1400,1,-0.3443518879823387,0.38596784500397596,3,15.0,20
1400,0,0.3610556244850159,0.28182084847812017,2,10.0,20
1400,1,-0.3017653556540608,0.4167319530683747,1,5.0,20
1440,0,0.4177182525396346,0.2635879797700671,3,15.0,20
1440,1,-0.36935383230447766,0.3568108027469228,1,5.0,20
1440,0,0.3331126034259796,0.2373569310728431,3,15.0,20
1440,1,-0.3009956451132893,0.3701945051459166,1,5.0,20
1480,0,0.24173056334257126,0.23358444578907087,3,15.0,20
1480,1,-0.34385527968406676,0.3288002361873894,1,5.0,20
1480,0,0.26363353580236437,0.3311100878590732,3,15.0,20
1480,1,-0.24684040807187557,0.4796830114726943,1,5.0,20
1520,0,0.1681843757629395,0.1570835654748029,2,10.0,20
1520,1,-0.3493889544159174,0.3675056748180533,1,5.0,20
1520,0,0.1413279160857201,0.14430695395448065,2,10.0,20
1520,1,-0.3983591139316559,0.343645138088943,2,10.0,20
1560,0,0.10867611393332484,0.17556372148245192,3,15.0,20
1560,1,-0.2586194165516645,0.35498636349292967,1,5.0,20
1560,0,0.10696593299508098,0.20367281682889668,3,15.0,20
1560,1,-0.40963696693070234,0.29631366900748296,2,10.0,20
1600,0,0.07437130659818651,0.13795998854284633,4,20.0,20
1600,1,-0.28112225886434317,0.36238981642297136,2,10.0,20
1600,0,0.021494653075933484,0.16146434481503694,4,20.0,20
1600,1,-0.4150724848732352,0.3170626699701398,0,0.0,20
1640,0,-0.02284546978771684,0.12949971035003907,4,20.0,20
